Cluster,A_avg,CO_avg,A_std,CO_std,A_Nstd,CO_Nstd,Total,A_status,CO_status,Tier%,Tier_Status
0,3.8742317614130477,2.243491438844189,0.23895643036761463,0.2825411843871798,91226,91226,91226,1.0,1.0,72.69,A
1,3.2269535145227333,3.3990874228247723,0.2707244192879828,0.4510841620753545,62844,62844,62844,1.0,1.0,-5.06,nB
2,2.552528950893953,3.0905666729793992,0.36712298801660004,0.44353539274465986,47523,47523,47523,1.0,1.0,-17.41,nA
3,1.9556783522581118,4.204945706096351,0.4543782485362553,0.4477928364933577,36284,36284,36284,1.0,1.0,-53.49,nSS
4,4.464414778480719,1.9220652991834117,0.28722032210636206,0.32878996972420826,71762,71762,71762,1.0,1.0,132.27,S
5,4.119865662688641,3.174080081454821,0.340979800412752,0.49082943007261776,42232,42232,42232,1.0,1.0,29.8,B
6,4.682140480815114,1.2172707659840445,0.2233900596554767,0.25176714089078817,148789,148789,148789,1.0,1.0,284.64,SS
7,4.053052575107296,1.7651153433476394,0.282826070774717,0.28327103376095464,93200,93200,93200,1.0,1.0,129.62,S
8,4.5303104208534135,2.368690613232396,0.28797949366711767,0.39309848016344107,51253,51253,51253,1.0,1.0,91.26,S
9,0.3324513046674017,0.44547960308710033,0.505458812040325,0.6167387104236272,4535,4535,4535,1.0,1.0,-25.37,nS
10,2.5958722004416206,3.103499166328692,0.3485647324526142,0.45442023345593274,44382,44382,44382,1.0,1.0,-16.36,nB
11,3.6404443637060924,2.804407557109769,0.3039938463781181,0.40833173328135924,66057,66057,66057,1.0,1.0,29.81,B
12,3.557224455257034,2.4349270150200972,0.2928481171826273,0.36219152560488893,70905,70905,70905,1.0,1.0,46.09,B
13,3.160978169108539,2.142692726455064,0.28844418856293297,0.37005103497791364,84498,84498,84498,1.0,1.0,47.52,A
14,3.9495684893675778,1.420580468102734,0.26095255092122477,0.2721868435862867,96560,96560,96560,1.0,1.0,178.02,SS
