Cluster,C_avg,SP_avg,C_std,SP_std,C_Nstd,SP_Nstd,Total,C_status,SP_status,Tier%,Tier_Status
0,4.082762587499556,2.2011512631915573,0.27174754845233917,0.3887984192860685,75048,75048,75048,1.0,1.0,85.48,S
1,2.7436332815210287,2.3009816178955194,0.31763561361856263,0.41235917926374405,59188,59188,59188,1.0,1.0,19.24,A
2,3.2082480887261764,2.187585565075605,0.29004885863962193,0.37888713534819624,65009,65009,65009,1.0,1.0,46.66,A
3,3.985646617594233,3.576293630933898,0.317686181765051,0.44935977494935553,54749,54749,54749,1.0,1.0,11.45,B
4,2.5216048946602423,3.4585600033912196,0.3139098471757389,0.3611949174669042,70771,70771,70771,1.0,1.0,-27.09,nS
5,3.7292180795482337,1.5143594788679162,0.27786796158530785,0.31650559416139334,89958,89958,89958,1.0,1.0,146.26,SS
6,3.3632138581790016,3.167819167664249,0.2778569114688521,0.3698609295108745,71005,71005,71005,1.0,1.0,6.17,B
7,3.5661701983374914,2.413620399815832,0.221503405217472,0.30806175315268736,93393,93393,93393,1.0,1.0,47.75,S
8,4.565141867739053,1.2945375335120644,0.2690351056074962,0.2943349254418313,89520,89520,89520,1.0,1.0,252.65,SS
9,4.278357343931114,2.319920516641828,0.29405161958422493,0.3790659789613482,62403,62403,62403,1.0,1.0,84.42,S
10,2.044625223652359,4.329883360264483,0.3624653039812045,0.38427839660556085,53841,53841,53841,1.0,1.0,-52.78,nSS
11,2.4811557144871252,3.2351482293228746,0.3330560922418357,0.402985632514739,52014,52014,52014,1.0,1.0,-23.31,nB
12,0.4022198353025421,0.3453813104189044,0.539109194031472,0.5447873266113642,4655,4655,4655,1.0,1.0,16.46,A
13,3.2798257408132803,3.129775982722297,0.2565104754937933,0.30119212161003467,94457,94457,94457,1.0,1.0,4.79,B
14,3.04103157590184,4.129259327450387,0.28575821578412325,0.35786948524567264,76039,76039,76039,1.0,1.0,-26.35,nA
