Cluster,E_avg,IN_avg,E_std,IN_std,E_Nstd,IN_Nstd,Total,E_status,IN_status,Tier%,Tier_Status
0,3.997950916695163,2.7823263276955044,0.3402116446929535,0.3012241653309866,76034,76034,76034,1.0,1.0,43.69,A
1,2.4084588073703577,4.1041853473967915,0.2941346753932896,0.320689931186541,77174,77174,77174,1.0,1.0,-41.32,nS
2,4.627866734526093,1.4631249265943702,0.2778538530912898,0.335411793883569,76629,76629,76629,1.0,1.0,216.3,SS
3,2.5313085794590076,3.2754787981556546,0.3085850865811664,0.30530041537809177,86101,86101,86101,1.0,1.0,-22.72,nA
4,3.093715491833872,3.159724063372759,0.30350898311628166,0.32465666029838136,77699,77699,77699,1.0,1.0,-2.09,nB
5,2.174760136180749,4.004205354379449,0.4313192664578413,0.3719273188084224,51696,51696,51696,1.0,1.0,-45.69,nS
6,2.2332805950186763,2.97455838457649,0.3453484929085159,0.37738727450668935,61309,61309,61309,1.0,1.0,-24.92,nA
7,1.4261554398640035,4.666383340416489,0.3173393916368593,0.2624183634075786,75296,75296,75296,1.0,1.0,-69.44,nSS
8,3.096484068796975,2.514181306773643,0.3010536643672181,0.32874573231450926,86748,86748,86748,1.0,1.0,23.16,B
9,3.420023386010913,2.8181595918078095,0.33953797011644954,0.37429750222584945,56444,56444,56444,1.0,1.0,21.36,B
10,4.1273139782901085,2.033157172551524,0.3469265893539724,0.3204518817788262,73607,73607,73607,1.0,1.0,103.0,S
11,3.7423045506776873,1.9728011518600046,0.32759132076252223,0.31774779265786823,72231,72231,72231,1.0,1.0,89.69,S
12,0.4242247191011236,0.3153258426966292,0.5539268215581095,0.4784628252036321,4450,4450,4450,1.0,1.0,34.54,A
13,3.427023431904226,3.727190559023159,0.39617392369530385,0.3857655218143767,58638,58638,58638,1.0,1.0,-8.05,nB
14,1.6350129497140806,3.7975177577762387,0.3033012925872879,0.30868842597300017,77994,77994,77994,1.0,1.0,-56.95,nSS
