Cluster,N_avg,ES_avg,N_std,ES_std,N_Nstd,ES_Nstd,Total,N_status,ES_status,Tier%,Tier_Status
0,2.6707964689941015,3.9699306551889046,0.2900584599548605,0.5312152980643469,50184,50184,50184,1.0,1.0,-32.72,nA
1,3.6883540717698033,3.3426008221308745,0.2502414564276017,0.6196420340303055,72008,72008,72008,1.0,1.0,10.34,A
2,1.4223494227110427,2.6791811097500586,0.5015315611253996,1.0472462035671695,38369,38369,38369,1.0,1.0,-46.91,nS
3,3.71652707158679,2.2211916028997183,0.24601129129284466,0.5836222312456921,79456,79456,79456,1.0,1.0,67.32,S
4,3.880632032699852,2.040739740186521,0.23769024946290948,0.5441709883560869,85138,85138,85138,1.0,1.0,90.16,SS
5,2.4590938744216078,2.6844869794468953,0.25712892944950955,0.59079309180113,74344,74344,74344,1.0,1.0,-8.4,nB
6,2.140615906586263,3.925506754665115,0.25323822844664406,0.5201772020230794,80759,80759,80759,1.0,1.0,-45.47,nS
7,3.1207869755492172,2.849114938274293,0.31828057288274625,0.6331379529994438,45929,45929,45929,1.0,1.0,9.54,B
8,1.466642534416884,4.503752501667779,0.2731770345949034,0.47189723731996147,65956,65956,65956,1.0,1.0,-67.44,nSS
9,2.268138806528301,3.1336712343403583,0.25376983134462605,0.5542672929742638,74874,74874,74874,1.0,1.0,-27.62,nA
10,3.061323709249262,2.9318360326503017,0.22342203930933158,0.4998674296298145,100581,100581,100581,1.0,1.0,4.42,B
11,3.0544508342783088,3.291017333549328,0.2828946385516676,0.6514658858367779,61730,61730,61730,1.0,1.0,-7.19,nB
12,4.575022574495836,1.502852269632645,0.2550287741242334,0.4936013052774426,69769,69769,69769,1.0,1.0,204.42,SS
13,4.431590712685844,2.9662439815876263,0.2818327693657139,0.7351515576476689,56701,56701,56701,1.0,1.0,49.4,A
14,3.1272821410794283,1.8877195477494133,0.2783868660979772,0.529629743305771,56252,56252,56252,1.0,1.0,65.66,S
